wavelength  B V R I atm
674.000 0.000 0.000 0.806 0.000 0.703
675.000 0.000 0.000 0.806 0.000 0.703
676.000 0.000 0.000 0.807 0.000 0.704
677.000 0.000 0.000 0.807 0.000 0.704
678.000 0.000 0.000 0.807 0.000 0.705
679.000 0.000 0.000 0.807 0.000 0.705
680.000 0.000 0.000 0.807 0.000 0.706
681.000 0.000 0.000 0.806 0.000 0.706
682.000 0.000 0.000 0.805 0.000 0.706
683.000 0.000 0.000 0.805 0.000 0.707
684.000 0.000 0.000 0.804 0.000 0.707
685.000 0.000 0.000 0.803 0.000 0.707
686.000 0.000 0.000 0.802 0.000 0.705
687.000 0.000 0.000 0.802 0.001 0.611
688.000 0.000 0.000 0.801 0.001 0.640
689.000 0.000 0.000 0.800 0.001 0.632
690.000 0.000 0.000 0.800 0.001 0.647
691.000 0.000 0.000 0.801 0.001 0.669
692.000 0.000 0.000 0.802 0.001 0.683
693.000 0.000 0.000 0.803 0.001 0.687
694.000 0.000 0.000 0.804 0.002 0.686
695.000 0.000 0.000 0.806 0.002 0.692
696.000 0.000 0.000 0.807 0.002 0.695
697.000 0.000 0.000 0.808 0.002 0.706
698.000 0.000 0.000 0.809 0.002 0.704
699.000 0.000 0.000 0.810 0.003 0.695
700.000 0.000 0.000 0.812 0.003 0.697
701.000 0.000 0.000 0.811 0.004 0.695
702.000 0.000 0.000 0.811 0.005 0.697
703.000 0.000 0.000 0.811 0.006 0.705
704.000 0.000 0.000 0.811 0.007 0.706
705.000 0.000 0.000 0.811 0.008 0.702
706.000 0.000 0.000 0.811 0.009 0.703
707.000 0.000 0.000 0.811 0.009 0.705
708.000 0.000 0.000 0.811 0.010 0.706
709.000 0.000 0.000 0.811 0.011 0.709
710.000 0.000 0.000 0.811 0.012 0.706
711.000 0.000 0.000 0.811 0.023 0.709
712.000 0.000 0.000 0.811 0.034 0.712
713.000 0.000 0.000 0.811 0.044 0.710
714.000 0.000 0.000 0.811 0.055 0.709
715.000 0.000 0.000 0.811 0.066 0.707
716.000 0.000 0.000 0.811 0.076 0.704
717.000 0.000 0.000 0.811 0.087 0.683
718.000 0.000 0.000 0.811 0.098 0.671
719.000 0.000 0.000 0.811 0.109 0.666
720.000 0.000 0.000 0.811 0.119 0.659
721.000 0.000 0.000 0.805 0.155 0.690
722.000 0.000 0.000 0.799 0.191 0.701
723.000 0.000 0.000 0.793 0.226 0.695
724.000 0.000 0.000 0.788 0.262 0.678
725.000 0.000 0.000 0.782 0.298 0.681
726.000 0.000 0.000 0.776 0.333 0.680
727.000 0.000 0.000 0.770 0.369 0.683
728.000 0.000 0.000 0.764 0.404 0.680
729.000 0.000 0.000 0.758 0.440 0.687
730.000 0.000 0.000 0.752 0.475 0.686
731.000 0.000 0.000 0.692 0.508 0.684
732.000 0.000 0.000 0.633 0.540 0.696
733.000 0.000 0.000 0.574 0.572 0.706
734.000 0.000 0.000 0.514 0.604 0.711
735.000 0.000 0.000 0.455 0.636 0.710
736.000 0.000 0.000 0.396 0.668 0.707
737.000 0.000 0.000 0.337 0.700 0.709
738.000 0.000 0.000 0.278 0.732 0.713
739.000 0.000 0.000 0.219 0.764 0.714
740.000 0.000 0.000 0.160 0.796 0.718
741.000 0.000 0.000 0.146 0.795 0.719
742.000 0.000 0.000 0.132 0.795 0.720
743.000 0.000 0.000 0.118 0.794 0.722
744.000 0.000 0.000 0.104 0.794 0.723
745.000 0.000 0.000 0.090 0.793 0.724
746.000 0.000 0.000 0.076 0.792 0.724
747.000 0.000 0.000 0.062 0.792 0.724
748.000 0.000 0.000 0.048 0.791 0.725
749.000 0.000 0.000 0.034 0.791 0.725
750.000 0.000 0.000 0.020 0.790 0.725
751.000 0.000 0.000 0.018 0.789 0.726
752.000 0.000 0.000 0.016 0.787 0.726
753.000 0.000 0.000 0.015 0.785 0.726
754.000 0.000 0.000 0.013 0.783 0.727
755.000 0.000 0.000 0.012 0.782 0.727
756.000 0.000 0.000 0.010 0.780 0.727
757.000 0.000 0.000 0.009 0.778 0.727
758.000 0.000 0.000 0.007 0.776 0.726
759.000 0.000 0.000 0.006 0.775 0.676
760.000 0.000 0.000 0.004 0.773 0.305
761.000 0.000 0.000 0.004 0.772 0.271
762.000 0.000 0.000 0.003 0.771 0.484
763.000 0.000 0.000 0.003 0.770 0.417
764.000 0.000 0.000 0.003 0.769 0.450
765.000 0.000 0.000 0.003 0.768 0.525
766.000 0.000 0.000 0.002 0.767 0.616
767.000 0.000 0.000 0.002 0.766 0.663
768.000 0.000 0.000 0.002 0.764 0.693
769.000 0.000 0.000 0.001 0.763 0.713
770.000 0.000 0.000 0.001 0.762 0.724
771.000 0.000 0.000 0.001 0.761 0.729
772.000 0.000 0.000 0.001 0.759 0.730
773.000 0.000 0.000 0.001 0.758 0.731
774.000 0.000 0.000 0.001 0.757 0.731
775.000 0.000 0.000 0.001 0.755 0.732
776.000 0.000 0.000 0.001 0.754 0.732
777.000 0.000 0.000 0.000 0.752 0.732
778.000 0.000 0.000 0.000 0.751 0.732
779.000 0.000 0.000 0.000 0.749 0.732
780.000 0.000 0.000 0.000 0.748 0.732
781.000 0.000 0.000 0.000 0.747 0.733
782.000 0.000 0.000 0.000 0.746 0.733
783.000 0.000 0.000 0.000 0.744 0.733
784.000 0.000 0.000 0.000 0.743 0.733
785.000 0.000 0.000 0.000 0.742 0.732
786.000 0.000 0.000 0.000 0.741 0.731
787.000 0.000 0.000 0.000 0.740 0.729
788.000 0.000 0.000 0.000 0.739 0.727
789.000 0.000 0.000 0.000 0.737 0.723
790.000 0.000 0.000 0.000 0.736 0.722
791.000 0.000 0.000 0.000 0.735 0.723
792.000 0.000 0.000 0.000 0.733 0.724
793.000 0.000 0.000 0.000 0.732 0.726
794.000 0.000 0.000 0.000 0.730 0.730
795.000 0.000 0.000 0.000 0.728 0.728
796.000 0.000 0.000 0.000 0.727 0.721
797.000 0.000 0.000 0.000 0.725 0.723
