wavelength UVW2 UVM2 UVW1 U B V
425.0 0.08578200000000001 0.0 0.471 0.0 35.07 0.0
426.0 0.08479600000000001 0.0 0.464 0.0 35.69 0.0
427.0 0.08381 0.0 0.457 0.0 36.31 0.0
428.0 0.082824 0.0 0.45 0.0 36.65 0.0
429.0 0.081838 0.0 0.443 0.0 36.44 0.0
430.0 0.080852 0.0 0.436 0.0 35.6 0.0
431.0 0.07986599999999999 0.0 0.429 0.0 34.39 0.0
432.0 0.07887999999999999 0.0 0.421 0.0 33.22 0.0
433.0 0.077894 0.0 0.413 0.0 32.48 0.0
434.0 0.076908 0.0 0.406 0.0 32.34 0.0
435.0 0.075922 0.0 0.398 0.0 32.58 0.0
436.0 0.074936 0.0 0.39 0.0 33.3 0.0
437.0 0.07395 0.0 0.382 0.0 34.19 0.0
438.0 0.072964 0.0 0.374 0.0 34.94 0.0
439.0 0.071978 0.0 0.366 0.0 35.3 0.0
440.0 0.070992 0.0 0.358 0.0 35.2 0.0
441.0 0.070006 0.0 0.35 0.0 34.75 0.0
442.0 0.06902 0.0 0.342 0.0 34.17 0.0
443.0 0.068034 0.0 0.334 0.0 33.64 0.0
444.0 0.067048 0.0 0.326 0.0 33.29 0.0
445.0 0.065076 0.0 0.318 0.0 33.08 0.0
446.0 0.06409 0.0 0.31 0.0 32.89 0.0
447.0 0.063104 0.0 0.302 0.0 32.63 0.0
448.0 0.06211799999999999 0.0 0.294 0.0 32.24 0.0
449.0 0.061132000000000006 0.0 0.285 0.0 31.74 0.0
450.0 0.060146000000000005 0.0 0.277 0.0 31.21 0.0
451.0 0.059160000000000004 0.0 0.27 0.0 30.75 0.0
452.0 0.058174000000000003 0.0 0.262 0.0 30.45 0.0
453.0 0.057188 0.0 0.254 0.0 30.34 0.0
454.0 0.056201999999999995 0.0 0.246 0.0 30.38 0.0
455.0 0.055215999999999994 0.0 0.238 0.0 30.76 0.0
456.0 0.054229999999999993 0.0 0.231 0.0 31.14 0.0
457.0 0.05324400000000001 0.0 0.223 0.0 31.41 0.0
458.0 0.052258000000000006 0.0 0.216 0.0 31.54 0.0
459.0 0.051272000000000005 0.0 0.209 0.0 31.56 0.0
460.0 0.050286000000000004 0.0 0.201 0.0 31.46 0.0
461.0 0.050286000000000004 0.0 0.194 0.0 31.31 0.0
462.0 0.0493 0.0 0.187 0.0 31.12 0.0
463.0 0.048313999999999996 0.0 0.181 0.0 30.94 0.01
464.0 0.047327999999999995 0.0 0.174 0.0 30.79 0.01
465.0 0.046342 0.0 0.168 0.0 30.25 0.01
466.0 0.045356 0.0 0.161 0.0 29.73 0.01
467.0 0.045356 0.0 0.155 0.0 29.27 0.01
468.0 0.04437 0.0 0.149 0.0 28.83 0.02
469.0 0.043384 0.0 0.143 0.0 28.41 0.03
470.0 0.042398000000000005 0.0 0.138 0.0 27.97 0.03
471.0 0.042398000000000005 0.0 0.133 0.0 27.48 0.04
472.0 0.041412 0.0 0.127 0.0 26.88 0.05
473.0 0.040426 0.0 0.122 0.0 26.17 0.06
474.0 0.040426 0.0 0.118 0.0 25.37 0.06
475.0 0.039439999999999996 0.0 0.113 0.0 24.88 0.07
476.0 0.038454 0.0 0.109 0.0 24.44 0.07
477.0 0.038454 0.0 0.104 0.0 24.12 0.06
478.0 0.037468 0.0 0.1 0.0 23.95 0.06
479.0 0.036482 0.0 0.097 0.0 23.95 0.05
480.0 0.036482 0.0 0.093 0.0 24.04 0.05
481.0 0.035496 0.0 0.089 0.0 24.14 0.06
482.0 0.03451 0.0 0.086 0.0 24.11 0.06
483.0 0.03451 0.0 0.083 0.0 23.73 0.06
484.0 0.033524 0.0 0.08 0.0 22.79 0.06
485.0 0.033524 0.0 0.077 0.0 21.17 0.06
486.0 0.032538 0.0 0.074 0.0 18.79 0.07
487.0 0.032538 0.0 0.071 0.0 15.82 0.08
488.0 0.031552 0.0 0.069 0.0 12.63 0.09
489.0 0.031552 0.0 0.067 0.0 9.64 0.1
490.0 0.030566000000000003 0.0 0.064 0.0 7.1 0.12
491.0 0.030566000000000003 0.0 0.062 0.0 5.11 0.15
492.0 0.029580000000000002 0.0 0.06 0.0 3.64 0.18
493.0 0.029580000000000002 0.0 0.058 0.0 2.59 0.22
494.0 0.028594 0.0 0.057 0.0 1.85 0.28
495.0 0.028594 0.0 0.055 0.0 1.32 0.36
496.0 0.027607999999999997 0.0 0.053 0.0 0.95 0.46
497.0 0.027607999999999997 0.0 0.052 0.0 0.69 0.6
498.0 0.027607999999999997 0.0 0.051 0.0 0.5 0.79
499.0 0.026622000000000003 0.0 0.049 0.0 0.37 1.06
500.0 0.026622000000000003 0.0 0.048 0.0 0.27 1.44
501.0 0.025636000000000003 0.0 0.047 0.0 0.2 1.96
502.0 0.025636000000000003 0.0 0.046 0.0 0.15 2.7
503.0 0.025636000000000003 0.0 0.045 0.0 0.12 3.69
504.0 0.02465 0.0 0.044 0.0 0.09 4.97
505.0 0.02465 0.0 0.043 0.0 0.07 6.54
506.0 0.02465 0.0 0.043 0.0 0.05 8.31
507.0 0.023663999999999998 0.0 0.042 0.0 0.04 10.15
508.0 0.023663999999999998 0.0 0.041 0.0 0.04 11.88
509.0 0.023663999999999998 0.0 0.041 0.0 0.03 13.4
510.0 0.022678 0.0 0.04 0.0 0.02 14.67
511.0 0.022678 0.0 0.04 0.0 0.02 15.7
512.0 0.022678 0.0 0.039 0.0 0.02 16.56
513.0 0.022678 0.0 0.039 0.0 0.01 17.32
514.0 0.021692 0.0 0.038 0.0 0.01 18.04
515.0 0.021692 0.0 0.038 0.0 0.01 18.85
516.0 0.021692 0.0 0.038 0.0 0.01 19.65
517.0 0.020706 0.0 0.037 0.0 0.01 20.42
518.0 0.020706 0.0 0.037 0.0 0.01 21.13
519.0 0.020706 0.0 0.037 0.0 0.0 21.7
520.0 0.020706 0.0 0.036 0.0 0.0 22.12
521.0 0.019719999999999998 0.0 0.036 0.0 0.0 22.32
522.0 0.019719999999999998 0.0 0.036 0.0 0.0 22.33
523.0 0.019719999999999998 0.0 0.036 0.0 0.0 22.19
524.0 0.019719999999999998 0.0 0.035 0.0 0.0 21.92
525.0 0.019719999999999998 0.0 0.035 0.0 0.0 21.44
526.0 0.018734 0.0 0.035 0.0 0.0 21.0
527.0 0.018734 0.0 0.034 0.0 0.0 20.62
528.0 0.018734 0.0 0.034 0.0 0.0 20.35
529.0 0.018734 0.0 0.034 0.0 0.0 20.17
530.0 0.018734 0.0 0.034 0.0 0.0 20.07
531.0 0.017748 0.0 0.033 0.0 0.0 20.01
532.0 0.017748 0.0 0.033 0.0 0.0 19.98
533.0 0.017748 0.0 0.033 0.0 0.0 19.93
534.0 0.017748 0.0 0.033 0.0 0.0 19.85
535.0 0.017748 0.0 0.032 0.0 0.0 19.86
536.0 0.016762 0.0 0.032 0.0 0.0 19.8
537.0 0.016762 0.0 0.032 0.0 0.0 19.7
538.0 0.016762 0.0 0.031 0.0 0.0 19.59
539.0 0.016762 0.0 0.031 0.0 0.0 19.45
540.0 0.016762 0.0 0.031 0.0 0.0 19.29
541.0 0.016762 0.0 0.031 0.0 0.0 19.14
542.0 0.015776 0.0 0.03 0.0 0.0 18.97
543.0 0.015776 0.0 0.03 0.0 0.0 18.81
544.0 0.015776 0.0 0.03 0.0 0.0 18.64
545.0 0.015776 0.0 0.03 0.0 0.0 18.5
546.0 0.015776 0.0 0.029 0.0 0.0 18.36
547.0 0.015776 0.0 0.029 0.0 0.0 18.23
548.0 0.015776 0.0 0.029 0.0 0.0 18.1
549.0 0.014790000000000001 0.0 0.029 0.0 0.0 17.97
550.0 0.014790000000000001 0.0 0.028 0.0 0.0 17.85
551.0 0.014790000000000001 0.0 0.028 0.0 0.0 17.74
552.0 0.014790000000000001 0.0 0.028 0.0 0.0 17.61
553.0 0.014790000000000001 0.0 0.028 0.0 0.0 17.49
554.0 0.014790000000000001 0.0 0.027 0.0 0.0 17.36
555.0 0.014790000000000001 0.0 0.027 0.0 0.0 17.23
556.0 0.013803999999999999 0.0 0.027 0.0 0.0 17.09
557.0 0.013803999999999999 0.0 0.027 0.0 0.0 16.93
558.0 0.013803999999999999 0.0 0.026 0.0 0.0 16.78
559.0 0.013803999999999999 0.0 0.026 0.0 0.0 16.64
560.0 0.013803999999999999 0.0 0.026 0.0 0.0 16.5
561.0 0.013803999999999999 0.0 0.026 0.0 0.0 16.38
562.0 0.013803999999999999 0.0 0.025 0.0 0.0 16.28
563.0 0.012818000000000001 0.0 0.025 0.0 0.0 16.18
564.0 0.012818000000000001 0.0 0.025 0.0 0.0 16.08
565.0 0.012818000000000001 0.0 0.025 0.0 0.0 15.94
566.0 0.012818000000000001 0.0 0.024 0.0 0.0 15.8
567.0 0.012818000000000001 0.0 0.024 0.0 0.0 15.65
568.0 0.012818000000000001 0.0 0.024 0.0 0.0 15.49
569.0 0.012818000000000001 0.0 0.024 0.0 0.0 15.27
570.0 0.012818000000000001 0.0 0.024 0.0 0.0 15.01
571.0 0.011831999999999999 0.0 0.023 0.0 0.0 14.7
572.0 0.011831999999999999 0.0 0.023 0.0 0.0 14.35
573.0 0.011831999999999999 0.0 0.023 0.0 0.0 13.96
574.0 0.011831999999999999 0.0 0.023 0.0 0.0 13.54
575.0 0.011831999999999999 0.0 0.022 0.0 0.0 13.21
576.0 0.011831999999999999 0.0 0.022 0.0 0.0 12.9
577.0 0.011831999999999999 0.0 0.022 0.0 0.0 12.59
578.0 0.010846 0.0 0.022 0.0 0.0 12.28
579.0 0.010846 0.0 0.021 0.0 0.0 11.94
580.0 0.010846 0.0 0.021 0.0 0.0 11.53
581.0 0.0 0.0 0.021 0.0 0.0 10.97
582.0 0.0 0.0 0.021 0.0 0.0 10.24
583.0 0.0 0.0 0.021 0.0 0.0 9.3
584.0 0.0 0.0 0.02 0.0 0.0 8.21
585.0 0.0 0.0 0.02 0.0 0.0 7.21
586.0 0.0 0.0 0.02 0.0 0.0 6.02
587.0 0.0 0.0 0.02 0.0 0.0 4.94
588.0 0.0 0.0 0.02 0.0 0.0 4.02
589.0 0.0 0.0 0.0 0.0 0.0 3.25
590.0 0.0 0.0 0.0 0.0 0.0 2.62
591.0 0.0 0.0 0.0 0.0 0.0 2.1
592.0 0.0 0.0 0.0 0.0 0.0 1.67
593.0 0.0 0.0 0.0 0.0 0.0 1.32
594.0 0.0 0.0 0.0 0.0 0.0 1.03
595.0 0.0 0.0 0.0 0.0 0.0 0.79
596.0 0.0 0.0 0.0 0.0 0.0 0.61
597.0 0.0 0.0 0.0 0.0 0.0 0.46
598.0 0.0 0.0 0.0 0.0 0.0 0.35
599.0 0.0 0.0 0.0 0.0 0.0 0.26
600.0 0.0 0.0 0.0 0.0 0.0 0.2
601.0 0.0 0.0 0.0 0.0 0.0 0.15
602.0 0.0 0.0 0.0 0.0 0.0 0.12
603.0 0.0 0.0 0.0 0.0 0.0 0.09
604.0 0.0 0.0 0.0 0.0 0.0 0.08
605.0 0.0 0.0 0.0 0.0 0.0 0.06
606.0 0.0 0.0 0.0 0.0 0.0 0.05
607.0 0.0 0.0 0.0 0.0 0.0 0.04
608.0 0.0 0.0 0.0 0.0 0.0 0.04
609.0 0.0 0.0 0.0 0.0 0.0 0.03
610.0 0.0 0.0 0.0 0.0 0.0 0.03
